,Unnamed: 0.1,Unnamed: 0,POI_id,trajectory_id,norm_in_day_time,user_id,latitude,longitude,UTC_time,localtime,POI_catid,POI_catid_code,POI_catname,label
0,9631,118842,40d77680f964a52059011fe3,751_8,0.5,751.0,-73.992795,40.728279,2023-05-32 00:12:00+00:00,2012-07-02 18:07:39,4bf58dd8d48988d100951735,1.0,NoCat,1
1,936,46,49b15042f964a520d4521fe3,751_0,0.5,751.0,-74.007306,40.727612,2023-05-32 00:12:00+00:00,2012-04-03 13:24:51,4bf58dd8d48988d100951735,1.0,NoCat,0
2,2004,13023,3fd66200f964a52036e41ee3,1005_3,0.5,1005.0,-73.98979783058167,40.729616590845886,2023-05-32 00:12:00+00:00,2012-04-12 23:34:50,4bf58dd8d48988d100951735,1.0,NoCat,1
3,945,105,3fd66200f964a52004e61ee3,1005_0,0.5,1005.0,-73.9941164689654,40.72284169882771,2023-05-32 00:12:00+00:00,2012-04-03 14:14:31,4bf58dd8d48988d100951735,1.0,NoCat,0
4,2702,21738,4a27d8b3f964a5208c911fe3,195_2,0.5,195.0,-73.99197445110599,40.75377861076244,2023-05-32 00:12:00+00:00,2012-04-17 18:03:19,4bf58dd8d48988d100951735,1.0,NoCat,1
5,962,236,4a9fb11cf964a520343d20e3,195_0,0.5,195.0,-73.96047592163086,40.81022009968992,2023-05-32 00:12:00+00:00,2012-04-03 15:42:26,4bf58dd8d48988d100951735,1.0,NoCat,0
6,14680,211860,4ee13a16775b24730288e9f3,372_49,0.5,372.0,-73.9898237883206,40.72556065016895,2023-05-32 00:12:00+00:00,2013-01-13 14:16:31,4bf58dd8d48988d100951735,1.0,NoCat,1
7,1145,2894,4a723953f964a520a2da1fe3,372_1,0.5,372.0,-73.98864730158843,40.73124093737987,2023-05-32 00:12:00+00:00,2012-04-06 08:45:06,4bf58dd8d48988d100951735,1.0,NoCat,1
8,11764,157950,4a5d186ff964a5202bbd1fe3,372_30,0.5,372.0,-73.99005334586639,40.7385662300362,2023-05-32 00:12:00+00:00,2012-09-15 17:06:57,4bf58dd8d48988d100951735,1.0,NoCat,0
9,13916,197564,4aad466df964a5206f5f20e3,372_40,0.5,372.0,-74.03320670127869,40.71624906568188,2023-05-32 00:12:00+00:00,2012-12-16 14:56:21,4bf58dd8d48988d100951735,1.0,NoCat,0
