,users,in_loc,out_loc
0,181,4c65c855e2ee9c746794312f,4addb114f964a520556521e3
1,181,4ad68321f964a5208e0721e3,4ad778a8f964a520030b21e3
2,181,4a60baf0f964a52018c11fe3,4afefbd9f964a5207a3222e3
3,181,4aff3636f964a520ed3522e3,4a53d9a7f964a520c7b21fe3
4,181,4bcb05dc0687ef3bcde2dccc,4b69efa9f964a52014bd2be3
5,181,4bcb54a23740b7132e426265,4b54d362f964a52058ce27e3
6,181,4ad8fa6ef964a520ac1621e3,4d9380f0b327370470399b25
7,181,4be43a08bcef2d7f9b3a02e5,49ecb093f964a52071671fe3
8,181,4bd1b96a77b29c7439118d82,4b6489b0f964a520d7bb2ae3
9,181,4a513b17f964a520d2b01fe3,49ff53e6f964a5200c701fe3
10,181,4abbfc4af964a520ce8520e3,4bf14dbe564c0f473f366d49
11,181,4a32c3f9f964a5208c9a1fe3,4ba67125f964a520d05239e3
12,181,4b89ce3cf964a520e74d32e3,4cde4467c4f6a35de3f4c86c
13,181,4bc0de0674a9a593e4d8d0f6,4fa93241e4b02c573a9a87c9
14,181,4aedc59af964a520c3ce21e3,4bdc4bfdfed22d7f649a57c9
15,181,4bea0d9f6295c9b6f70f8608,3fd66200f964a5200fe41ee3
16,181,4ad7a8d9f964a520640d21e3,4c13a8c6b7b9c928d5dfa937
17,181,4e2de053a8092ca5c37048b0,4ce6d1330f196dcb0a0f3aae
18,181,4abd20f1f964a5209c8820e3,4aeedbe6f964a5206cd421e3
19,181,42911d00f964a520f5231fe3,4fdb3139e4b03d026843b6b3
20,181,4ab912baf964a520e77d20e3,4e4dcaffbd41b76bef933358
21,181,4ae49e4ff964a520639c21e3,4a3d735cf964a5204ba21fe3
22,181,4cf15597899c6ea8f1f1efc1,4a48080ff964a52075aa1fe3
23,181,4c7d8ca0b53db1f757829d11,4e4449b76365a330471ddc12
24,181,4a70ef9cf964a520d0d81fe3,4a95adabf964a520202420e3
25,181,4bf804ee8d30d13a1feaff17,408da280f964a520d8f21ee3
26,181,4de23e57e4cd056f743ea6f3,4ab9520bf964a520ef7e20e3
27,181,4bb52e252ea19521bd20aa2f,4dffc4c962e1fc1f12bef4f9
28,181,4bb7d95153649c74916146fb,4f7042d4a17cff2ad64f4951
29,181,4b92dc22f964a520432234e3,4eb9f83ccc21a9a7a1b2c579
30,181,4df1b62c52b100c2d7f339d5,4b68283bf964a5209c692be3
31,181,4b92e9f1f964a5208a2634e3,41c0d000f964a5208e1e1fe3
32,181,4ae4eb45f964a5206e9f21e3,4b521c6cf964a520be6827e3
33,181,4b283971f964a520289124e3,4ae3437df964a5208b9221e3
34,181,4b609138f964a5200cee29e3,4d4df5d7a7f86ea812823cde
35,181,4be37fa5b02ec9b6b6d64fc0,4d0a9b2f27f8a35dd0432713
36,181,4b2ac07af964a520ecae24e3,3fd66200f964a52042e81ee3
37,181,4d9a8aa6422ea1cd98f6e84c,49bad9acf964a520b8531fe3
38,181,4b3bef0df964a520bb7e25e3,4b4fd71df964a520401727e3
39,181,4ad684abf964a520970721e3,4b3a1551f964a520e06025e3
40,181,4ad78220f964a520960b21e3,4a19aaebf964a520307a1fe3
41,181,4a663f7cf964a52046c81fe3,4a99bbcdf964a520223020e3
42,181,3fd66200f964a520d8f11ee3,4d6c1167df3d6ea8db37d926
43,181,4adcf849f964a5200c6321e3,4b395c58f964a5204e5b25e3
44,181,4cb1fa623f0676b0a417fd0c,4fa44262e4b017e938190073
45,181,4fbfe16ae4b05190680fe0b1,4b070aa7f964a5200ef622e3
46,181,4fc6d424e4b08f659ecd5278,4b7c9fe1f964a520559e2fe3
47,181,4e863b32f790e3cd5056eff1,4fd34f51e4b02bbdc57dc74d
48,181,4b4c2b57f964a52029af26e3,4de3cbd8e4cd056f74638556
49,181,4b8ca10bf964a520c5d832e3,4add9cebf964a520246521e3
50,181,49e4a769f964a52015631fe3,4af3318cf964a5209ceb21e3
51,181,4b0e1598f964a520c85423e3,4e1b799ed22ddd4af9ed7dd8
52,181,4acfc371f964a520d2d520e3,4a66715ef964a5208dc81fe3
53,181,4ad8add6f964a520a61321e3,4b58c03df964a5201d6928e3
54,181,4c1290c98aedd13a88515137,49c224c6f964a520e2551fe3
55,181,4aa5c657f964a5206d4920e3,509817afc84c2e276bc2cd1f
56,181,4aee3aa5f964a5201bd321e3,4bbc407551b89c74ad3b872a
57,181,4aaf803ef964a520376420e3,4ad494d5f964a5203ce820e3
58,181,42f00900f964a520b9261fe3,49f4c2a2f964a5204c6b1fe3
59,181,4b2d93a9f964a5201fd924e3,44e247eaf964a52028371fe3
60,181,4bafaa5df964a52066153ce3,4840fef8f964a52031501fe3
61,181,4b992b04f964a520726635e3,4c138eb6f1e0b7136cab34bc
62,181,4acec156f964a520d3d120e3,437d1980f964a520a82a1fe3
63,181,4bba7c08cf2fc9b6cba3a102,4ecd466e722eff7fff40736b
64,181,4b7f1473f964a520fb1430e3,4c6ad75a9c76d13a452a4d0f
65,964,4d5f4ab6865a224b7c369d85,4a94318cf964a520b32020e3
66,964,4c178be559cc2d7f1fc75287,4c4dcaa49efabe9a41cc1569
67,964,4b5c8c80f964a520ea3529e3,4c9a873ad4b1b1f79dffd035
68,964,4a43bcb7f964a520bba61fe3,4f386335e4b08f009a8525de
69,1039,4b5f0221f964a520fea129e3,4da491f6593f8eec9a257e35
70,1039,4ac4efbff964a520a79f20e3,4acca438f964a5201dc920e3
71,1039,4cf907ea3875b1f79311973c,4b720649f964a520c96a2de3
72,1039,4a02d6f9f964a5206e711fe3,4ed2ceed61af476c0b7c346d
73,1039,49de2becf964a5202b601fe3,4b021b27f964a520bf4722e3
74,339,3fd66200f964a5209beb1ee3,4c7566d9604a370488958249
75,339,4d1266ff12916dcb8daad58a,4c23e755f7ced13a3dfd216d
76,339,4a72e5fef964a52050db1fe3,4b146314f964a5205da223e3
77,1057,4a676435f964a52054c91fe3,4a8ed014f964a520bd1220e3
78,1057,447bf8f1f964a520ec331fe3,4a959138f964a520b02320e3
79,1057,4b68ad82f964a52092862be3,4ab103f0f964a520c66720e3
80,1057,4f3d9498e4b0fbbbd6b25528,4e43c5c752b18fcc7991cffa
