,Unnamed: 0,POI_id,trajectory_id,norm_in_day_time,user_id,latitude,longitude,UTC_time,localtime,POI_catid,POI_catid_code,POI_catname
0,0,4bbb88fee4529521d6d054a4,181_0,0.5,,,,,,,,
1,1,4c65c855e2ee9c746794312f,181_0,0.5,,,,,,,,
2,2,4cc5fbdd306e224bd829a66c,181_0,0.5,,,,,,,,
3,6,5088ad7fe4b00b147d1d09b2,181_2,0.5,,,,,,,,
4,7,4ffa02b2e4b01d08218d7c6d,181_2,0.5,,,,,,,,
5,8,4a60baf0f964a52018c11fe3,181_2,0.5,,,,,,,,
6,18,4c8ac04852a98cfa84992fe9,181_6,0.5,,,,,,,,
7,19,4ad8fa6ef964a520ac1621e3,181_6,0.5,,,,,,,,
8,20,4e6e3d8f18380b4aac553e9f,181_6,0.5,,,,,,,,
9,24,4afd6dcef964a520c52722e3,181_8,0.5,,,,,,,,
10,25,4bd1b96a77b29c7439118d82,181_8,0.5,,,,,,,,
11,26,49e4ec34f964a5206e631fe3,181_8,0.5,,,,,,,,
12,27,4d3260b2511760fc57f4e2bd,181_9,0.5,,,,,,,,
13,28,4b5668d6f964a520370f28e3,181_9,0.5,,,,,,,,
14,29,4a513b17f964a520d2b01fe3,181_9,0.5,,,,,,,,
15,30,4fdb31fbe4b09756c153c42f,181_10,0.5,,,,,,,,
16,31,4abbfc4af964a520ce8520e3,181_10,0.5,,,,,,,,
17,32,4a52afccf964a520e9b11fe3,181_10,0.5,,,,,,,,
18,33,4de42417fa7651589f27bc0b,181_11,0.5,,,,,,,,
19,34,49ccb947f964a5208c591fe3,181_11,0.5,,,,,,,,
20,35,4a32c3f9f964a5208c9a1fe3,181_11,0.5,,,,,,,,
21,36,4e4942d07d8b91a065b2d1d1,181_12,0.5,,,,,,,,
22,37,4b89ce3cf964a520e74d32e3,181_12,0.5,,,,,,,,
23,38,4e306fbe88778782372017c1,181_12,0.5,,,,,,,,
24,45,4cbca639adcd5481da8e2fa2,181_15,0.5,,,,,,,,
25,46,4be07f2798f2a5934c72c25a,181_15,0.5,,,,,,,,
26,47,4bea0d9f6295c9b6f70f8608,181_15,0.5,,,,,,,,
27,48,4ab2cd94f964a520756c20e3,181_16,0.5,,,,,,,,
28,49,4c896e121dcd199c41a04c1b,181_16,0.5,,,,,,,,
29,50,4ad7a8d9f964a520640d21e3,181_16,0.5,,,,,,,,
30,54,4c08065b7c9ad13ab19e2c1e,181_18,0.5,,,,,,,,
31,55,4ed712f3b8f7e740d0bae0e0,181_18,0.5,,,,,,,,
32,56,4abd20f1f964a5209c8820e3,181_18,0.5,,,,,,,,
33,63,44510be3f964a520a0321fe3,181_21,0.5,,,,,,,,
34,64,4ae49e4ff964a520639c21e3,181_21,0.5,,,,,,,,
35,65,4bc535885935c9b618baa5d2,181_21,0.5,,,,,,,,
36,66,4a452221f964a520d8a71fe3,181_22,0.5,,,,,,,,
37,67,4c2603d9905a0f47456c6260,181_22,0.5,,,,,,,,
38,68,4cf15597899c6ea8f1f1efc1,181_22,0.5,,,,,,,,
39,75,4a3ea31ef964a52030a31fe3,181_25,0.5,,,,,,,,
40,76,4bf804ee8d30d13a1feaff17,181_25,0.5,,,,,,,,
41,77,5085ab3fe4b0fa60ac580600,181_25,0.5,,,,,,,,
42,90,4c7c071181bca09382ee0415,181_30,0.5,,,,,,,,
43,91,4df1b62c52b100c2d7f339d5,181_30,0.5,,,,,,,,
44,92,4c4dcfb2fb742d7f792a592d,181_30,0.5,,,,,,,,
45,96,4f17bde4e4b0cae4b44d2ce7,181_32,0.5,,,,,,,,
46,97,4ae4eb45f964a5206e9f21e3,181_32,0.5,,,,,,,,
47,98,4f9c3302e4b0f1efa7ea0e56,181_32,0.5,,,,,,,,
48,99,4a9c60eef964a520ff3620e3,181_33,0.5,,,,,,,,
49,100,50324929e4b0fdd33b1112a9,181_33,0.5,,,,,,,,
50,101,4b283971f964a520289124e3,181_33,0.5,,,,,,,,
51,120,4af1ae9cf964a52026e221e3,181_40,0.5,,,,,,,,
52,121,4544401ff964a520623c1fe3,181_40,0.5,,,,,,,,
53,122,4ad78220f964a520960b21e3,181_40,0.5,,,,,,,,
54,141,4cbe5493611abfb717f5a405,181_47,0.5,,,,,,,,
55,142,4e863b32f790e3cd5056eff1,181_47,0.5,,,,,,,,
56,143,4ba8b4fdf964a5209ee839e3,181_47,0.5,,,,,,,,
57,156,3fd66200f964a52042e81ee3,181_52,0.5,,,,,,,,
58,157,4cd584ca94848cfaa8dde6b1,181_52,0.5,,,,,,,,
59,158,4acfc371f964a520d2d520e3,181_52,0.5,,,,,,,,
60,171,4a58d0acf964a520f6b71fe3,181_57,0.5,,,,,,,,
61,172,4a9bc45ef964a5202f3520e3,181_57,0.5,,,,,,,,
62,173,4aaf803ef964a520376420e3,181_57,0.5,,,,,,,,
63,180,4c042894f423a593373ed116,181_60,0.5,,,,,,,,
64,181,4c0988846071a593f91cde32,181_60,0.5,,,,,,,,
65,182,4bafaa5df964a52066153ce3,181_60,0.5,,,,,,,,
66,189,4b5923ecf964a5209e7e28e3,181_63,0.5,,,,,,,,
67,190,4bba7c08cf2fc9b6cba3a102,181_63,0.5,,,,,,,,
68,191,4d960605daec224beab30c3e,181_63,0.5,,,,,,,,
69,207,4e899a7ff5b95970d4a7e27f,1039_69,0.5,,,,,,,,
70,208,4d9e7b18640b54812969cc2d,1039_69,0.5,,,,,,,,
71,209,4b5f0221f964a520fea129e3,1039_69,0.5,,,,,,,,
72,213,4176fc00f964a520b61d1fe3,1039_71,0.5,,,,,,,,
73,214,4aaa4e0ef964a520ad5520e3,1039_71,0.5,,,,,,,,
74,215,4cf907ea3875b1f79311973c,1039_71,0.5,,,,,,,,
75,216,4c0a9f936071a593f3e4df32,1039_72,0.5,,,,,,,,
76,217,4a02d6f9f964a5206e711fe3,1039_72,0.5,,,,,,,,
77,218,4c65885618b676b006b0ab0e,1039_72,0.5,,,,,,,,
78,222,4a624a38f964a520aac31fe3,339_74,0.5,,,,,,,,
79,223,4a523c9df964a5206cb11fe3,339_74,0.5,,,,,,,,
80,224,3fd66200f964a5209beb1ee3,339_74,0.5,,,,,,,,
81,228,3fd66200f964a5200ce91ee3,339_76,0.5,,,,,,,,
82,229,4bdad87c3904a593608d479e,339_76,0.5,,,,,,,,
83,230,4a72e5fef964a52050db1fe3,339_76,0.5,,,,,,,,
84,234,4f51526fe4b002a741157c16,1057_78,0.5,,,,,,,,
85,235,4f09d863e4b0aa2dc7c9990e,1057_78,0.5,,,,,,,,
86,236,447bf8f1f964a520ec331fe3,1057_78,0.5,,,,,,,,
87,243,4f53b208e4b0b589396c1946,1057_81,0.5,,,,,,,,
88,244,4bbf3763006dc9b6252efc3f,1057_81,0.5,,,,,,,,
89,245,4b53b0fcf964a520ffa727e3,1057_81,0.5,,,,,,,,
90,246,4a728f52f964a52037db1fe3,1057_82,0.5,,,,,,,,
91,247,4de45c45ae60e7f3ac1d7925,1057_82,0.5,,,,,,,,
92,248,4e4c36afbd41b9fca4317c1c,1057_82,0.5,,,,,,,,
93,258,4b05f2bcf964a52063e622e3,982_86,0.5,,,,,,,,
94,259,4dfcf67a183853f2cb529325,982_86,0.5,,,,,,,,
95,260,41818800f964a520db1d1fe3,982_86,0.5,,,,,,,,
96,261,4c33bc7216adc9286421c49c,982_87,0.5,,,,,,,,
97,262,4876216df964a52011511fe3,982_87,0.5,,,,,,,,
98,263,42829c80f964a5206a221fe3,982_87,0.5,,,,,,,,
99,264,4aef64e7f964a52016d821e3,982_88,0.5,,,,,,,,
100,265,4c6940de8e7c0f478815df0f,982_88,0.5,,,,,,,,
101,266,4a60c306f964a52028c11fe3,982_88,0.5,,,,,,,,
102,267,4c8bcae7c37a6dcb2c15f17a,982_89,0.5,,,,,,,,
103,268,4d9e5fb52052f04d07c8b494,982_89,0.5,,,,,,,,
104,269,4a35477cf964a520b79c1fe3,982_89,0.5,,,,,,,,
105,276,4b4756c3f964a520422f26e3,982_92,0.5,,,,,,,,
106,277,4c3f6b713735be9a795b15a4,982_92,0.5,,,,,,,,
107,278,4e760aa5b61c22c638709910,982_92,0.5,,,,,,,,
108,282,4b14029ef964a520b39b23e3,982_94,0.5,,,,,,,,
109,283,3fd66200f964a520d7f11ee3,982_94,0.5,,,,,,,,
110,284,4a1afeb7f964a520b77a1fe3,982_94,0.5,,,,,,,,
111,285,4c879d1bb504a1435cd6b71c,995_95,0.5,,,,,,,,
112,286,4aca10d4f964a5205dc020e3,995_95,0.5,,,,,,,,
113,287,4e3ab921b3ade614e1275a0c,995_95,0.5,,,,,,,,
